0 U (0, 0) [0, 0]
218 U (-1, 9) [0, 0]
219 R (0, 9) [0, 0]
220 D (0, 8) [1, 1]
221 L (-1, 8) [1, 1]
222 D (-1, 7) [0, 0]
223 L (-2, 7) [0, 0]
224 U (-2, 8) [0, 0]
225 R (-1, 8) [0, 2]
226 D (-1, 7) [1, 1]
227 R (0, 7) [1, 1]
228 U (0, 8) [0, 2]
229 R (1, 8) [0, 0]
230 D (1, 7) [1, 1]
231 L (0, 7) [0, 2]
232 D (0, 6) [1, 1]
233 R (1, 6) [1, 1]
234 U (1, 7) [0, 2]
235 R (2, 7) [0, 0]
236 D (2, 6) [0, 0]
237 R (3, 6) [0, 0]
238 U (3, 7) [0, 0]
239 R (4, 7) [0, 0]
240 D (4, 6) [0, 0]
241 R (5, 6) [0, 0]
242 D (5, 5) [0, 0]
243 R (6, 5) [0, 0]
244 U (6, 6) [0, 0]
245 R (7, 6) [0, 0]
246 D (7, 5) [0, 0]
247 L (6, 5) [1, 1]
248 D (6, 4) [0, 0]
249 L (5, 4) [0, 0]
250 U (5, 5) [1, 1]
251 L (4, 5) [0, 0]
252 U (4, 6) [1, 1]
253 L (3, 6) [1, 1]
254 D (3, 5) [0, 0]
255 L (2, 5) [0, 0]
256 U (2, 6) [1, 1]
257 L (1, 6) [0, 2]
258 D (1, 5) [0, 0]
259 L (0, 5) [1, 3]
260 D (0, 4) [1, 9]
261 L (-1, 4) [1, 7]
262 D (-1, 3) [1, 5]
263 L (-2, 3) [1, 3]
264 U (-2, 4) [0, 2]
265 R (-1, 4) [0, 8]
266 D (-1, 3) [0, 6]
267 R (0, 3) [1, 9]
268 U (0, 4) [0, 10]
269 R (1, 4) [0, 4]
270 U (1, 5) [1, 1]
271 R (2, 5) [1, 1]
272 D (2, 4) [1, 1]
273 L (1, 4) [1, 5]
274 U (1, 5) [0, 2]
275 R (2, 5) [0, 2]
276 D (2, 4) [0, 2]
277 L (1, 4) [0, 6]
278 D (1, 3) [0, 10]
279 L (0, 3) [0, 10]
280 U (0, 4) [1, 11]
281 R (1, 4) [1, 7]
282 D (1, 3) [1, 11]
283 L (0, 3) [1, 11]
284 U (0, 4) [0, 12]
285 R (1, 4) [0, 8]
286 D (1, 3) [0, 12]
287 L (0, 3) [0, 12]
288 U (0, 4) [1, 13]
289 L (-1, 4) [1, 9]
290 D (-1, 3) [1, 7]
291 L (-2, 3) [0, 4]
292 D (-2, 2) [1, 1]
293 L (-3, 2) [0, 2]
294 D (-3, 1) [1, 1]
295 R (-2, 1) [0, 0]
296 D (-2, 0) [0, 0]
297 L (-3, 0) [0, 0]
298 U (-3, 1) [0, 2]
299 L (-4, 1) [0, 2]
300 D (-4, 0) [1, 1]
301 L (-5, 0) [0, 2]
302 U (-5, 1) [1, 1]
303 R (-4, 1) [1, 3]
304 U (-4, 2) [1, 1]
305 R (-3, 2) [1, 3]
306 U (-3, 3) [1, 1]
307 L (-4, 3) [0, 0]
308 U (-4, 4) [0, 0]
309 R (-3, 4) [0, 0]
310 D (-3, 3) [0, 2]
311 R (-2, 3) [1, 5]
312 U (-2, 4) [1, 3]
313 R (-1, 4) [0, 10]
314 U (-1, 5) [0, 4]
315 L (-2, 5) [1, 1]
316 U (-2, 6) [1, 1]
317 R (-1, 6) [1, 1]
318 U (-1, 7) [0, 2]
319 R (0, 7) [1, 3]
320 U (0, 8) [1, 3]
321 L (-1, 8) [1, 3]
322 U (-1, 9) [1, 1]
323 R (0, 9) [1, 1]
324 U (0, 10) [0, 0]
325 R (1, 10) [0, 0]
326 U (1, 11) [0, 0]
327 L (0, 11) [0, 0]
328 D (0, 10) [1, 1]
329 R (1, 10) [1, 1]
330 D (1, 9) [0, 0]
331 R (2, 9) [0, 0]
332 U (2, 10) [0, 0]
333 L (1, 10) [0, 2]
334 D (1, 9) [1, 1]
335 R (2, 9) [1, 1]
336 U (2, 10) [1, 1]
337 L (1, 10) [1, 3]
338 D (1, 9) [0, 2]
339 R (2, 9) [0, 2]
340 U (2, 10) [0, 2]
341 R (3, 10) [0, 0]
342 D (3, 9) [0, 0]
343 L (2, 9) [1, 3]
344 D (2, 8) [0, 0]
345 R (3, 8) [0, 0]
346 U (3, 9) [1, 1]
347 R (4, 9) [0, 0]
348 U (4, 10) [0, 0]
349 R (5, 10) [0, 0]
350 D (5, 9) [0, 0]
351 L (4, 9) [1, 1]
352 D (4, 8) [0, 0]
353 L (3, 8) [1, 1]
354 U (3, 9) [0, 2]
355 R (4, 9) [0, 2]
356 D (4, 8) [1, 1]
357 L (3, 8) [0, 2]
358 U (3, 9) [1, 3]
359 L (2, 9) [0, 4]
360 U (2, 10) [1, 3]
361 L (1, 10) [0, 4]
362 D (1, 9) [1, 3]
363 R (2, 9) [1, 5]
364 D (2, 8) [1, 1]
365 R (3, 8) [1, 3]
366 U (3, 9) [0, 4]
367 L (2, 9) [0, 6]
368 U (2, 10) [0, 4]
369 L (1, 10) [1, 5]
370 D (1, 9) [0, 4]
371 R (2, 9) [1, 7]
372 U (2, 10) [1, 5]
373 R (3, 10) [1, 1]
374 D (3, 9) [1, 5]
375 L (2, 9) [0, 8]
376 D (2, 8) [0, 2]
377 L (1, 8) [1, 1]
378 D (1, 7) [1, 3]
379 R (2, 7) [1, 1]
380 D (2, 6) [0, 2]
381 L (1, 6) [1, 3]
382 U (1, 7) [0, 4]
383 L (0, 7) [0, 4]
384 D (0, 6) [0, 2]
385 R (1, 6) [0, 4]
386 D (1, 5) [1, 3]
387 R (2, 5) [1, 3]
388 D (2, 4) [1, 3]
389 L (1, 4) [1, 9]
390 U (1, 5) [0, 4]
391 R (2, 5) [0, 4]
392 U (2, 6) [1, 3]
393 L (1, 6) [1, 5]
394 D (1, 5) [1, 5]
395 R (2, 5) [1, 5]
396 U (2, 6) [0, 4]
397 L (1, 6) [0, 6]
398 D (1, 5) [0, 6]
399 R (2, 5) [0, 6]
400 U (2, 6) [1, 5]
401 L (1, 6) [1, 7]
402 D (1, 5) [1, 7]
403 L (0, 5) [0, 4]
404 D (0, 4) [0, 14]
405 R (1, 4) [0, 10]
406 U (1, 5) [0, 8]
407 R (2, 5) [1, 7]
408 U (2, 6) [0, 6]
409 R (3, 6) [0, 2]
410 D (3, 5) [1, 1]
411 L (2, 5) [0, 8]
412 D (2, 4) [0, 4]
413 R (3, 4) [0, 2]
414 D (3, 3) [0, 6]
415 L (2, 3) [1, 7]
416 D (2, 2) [0, 8]
417 L (1, 2) [1, 9]
418 U (1, 3) [1, 13]
419 L (0, 3) [1, 13]
420 D (0, 2) [0, 6]
421 R (1, 2) [0, 10]
422 D (1, 1) [1, 5]
423 R (2, 1) [1, 5]
424 U (2, 2) [1, 9]
425 L (1, 2) [1, 11]
426 U (1, 3) [0, 14]
427 R (2, 3) [0, 8]
428 U (2, 4) [1, 5]
429 R (3, 4) [1, 3]
430 D (3, 3) [1, 7]
431 R (4, 3) [1, 3]
432 U (4, 4) [1, 1]
433 R (5, 4) [1, 1]
434 D (5, 3) [0, 0]
435 R (6, 3) [0, 0]
436 U (6, 4) [1, 1]
437 L (5, 4) [0, 2]
438 U (5, 5) [0, 2]
439 L (4, 5) [1, 1]
440 U (4, 6) [0, 2]
441 L (3, 6) [1, 3]
442 U (3, 7) [1, 1]
443 R (4, 7) [1, 1]
444 D (4, 6) [1, 3]
445 R (5, 6) [1, 1]
446 U (5, 7) [0, 0]
447 L (4, 7) [0, 2]
448 U (4, 8) [0, 2]
449 R (5, 8) [0, 0]
450 U (5, 9) [1, 1]
451 L (4, 9) [1, 3]
452 U (4, 10) [1, 1]
453 R (5, 10) [1, 1]
454 D (5, 9) [0, 2]
455 R (6, 9) [0, 0]
456 U (6, 10) [0, 0]
457 R (7, 10) [0, 0]
458 D (7, 9) [0, 0]
459 L (6, 9) [1, 1]
460 D (6, 8) [0, 0]
461 R (7, 8) [0, 0]
462 U (7, 9) [1, 1]
463 R (8, 9) [0, 0]
464 U (8, 10) [0, 0]
465 R (9, 10) [0, 0]
466 D (9, 9) [0, 0]
467 L (8, 9) [1, 1]
468 D (8, 8) [0, 0]
469 L (7, 8) [1, 1]
470 U (7, 9) [0, 2]
471 R (8, 9) [0, 2]
472 D (8, 8) [1, 1]
473 L (7, 8) [0, 2]
474 U (7, 9) [1, 3]
475 L (6, 9) [0, 2]
476 U (6, 10) [1, 1]
477 L (5, 10) [0, 2]
478 D (5, 9) [1, 3]
479 R (6, 9) [1, 3]
480 D (6, 8) [1, 1]
481 R (7, 8) [1, 3]
482 U (7, 9) [0, 4]
483 L (6, 9) [0, 4]
484 U (6, 10) [0, 2]
485 L (5, 10) [1, 3]
486 D (5, 9) [0, 4]
487 R (6, 9) [1, 5]
488 U (6, 10) [1, 3]
489 R (7, 10) [1, 1]
490 D (7, 9) [1, 5]
491 L (6, 9) [0, 6]
492 D (6, 8) [0, 2]
493 L (5, 8) [1, 1]
494 D (5, 7) [1, 1]
495 R (6, 7) [0, 0]
496 U (6, 8) [1, 3]
497 L (5, 8) [0, 2]
498 D (5, 7) [0, 2]
499 R (6, 7) [1, 1]
500 D (6, 6) [1, 1]
501 L (5, 6) [0, 2]
502 U (5, 7) [1, 3]
503 L (4, 7) [1, 3]
504 U (4, 8) [1, 3]
505 R (5, 8) [1, 3]
506 U (5, 9) [1, 5]
507 R (6, 9) [1, 7]
508 U (6, 10) [0, 4]
509 R (7, 10) [0, 2]
510 U (7, 11) [0, 0]
511 L (6, 11) [0, 0]
512 U (6, 12) [0, 0]
513 L (5, 12) [0, 0]
514 D (5, 11) [0, 0]
515 R (6, 11) [1, 1]
516 D (6, 10) [1, 5]
517 L (5, 10) [0, 4]
518 D (5, 9) [0, 6]
519 L (4, 9) [0, 4]
520 U (4, 10) [0, 2]
521 R (5, 10) [1, 5]
522 U (5, 11) [1, 1]
523 L (4, 11) [0, 0]
524 U (4, 12) [0, 0]
525 R (5, 12) [1, 1]
526 D (5, 11) [0, 2]
527 R (6, 11) [0, 2]
528 D (6, 10) [0, 6]
529 L (5, 10) [0, 6]
530 U (5, 11) [1, 3]
531 L (4, 11) [1, 1]
532 U (4, 12) [1, 1]
533 R (5, 12) [0, 2]
534 D (5, 11) [0, 4]
535 L (4, 11) [0, 2]
536 D (4, 10) [1, 3]
537 R (5, 10) [1, 7]
538 U (5, 11) [1, 5]
539 L (4, 11) [1, 3]
540 D (4, 10) [0, 4]
541 R (5, 10) [0, 8]
542 U (5, 11) [0, 6]
543 L (4, 11) [0, 4]
544 U (4, 12) [0, 2]
545 R (5, 12) [1, 3]
546 U (5, 13) [0, 0]
547 L (4, 13) [0, 0]
548 D (4, 12) [1, 3]
549 L (3, 12) [0, 0]
550 D (3, 11) [0, 0]
551 L (2, 11) [0, 0]
552 U (2, 12) [0, 0]
553 R (3, 12) [1, 1]
554 U (3, 13) [0, 0]
555 R (4, 13) [1, 1]
556 D (4, 12) [0, 4]
557 L (3, 12) [0, 2]
558 U (3, 13) [1, 1]
559 R (4, 13) [0, 2]
560 D (4, 12) [1, 5]
561 R (5, 12) [0, 4]
562 D (5, 11) [1, 7]
563 R (6, 11) [1, 3]
564 D (6, 10) [1, 7]
565 R (7, 10) [1, 3]
566 D (7, 9) [0, 6]
567 L (6, 9) [0, 8]
568 U (6, 10) [0, 8]
569 L (5, 10) [1, 9]
570 D (5, 9) [1, 7]
571 L (4, 9) [1, 5]
572 D (4, 8) [0, 4]
573 R (5, 8) [0, 4]
574 U (5, 9) [0, 8]
575 L (4, 9) [0, 6]
576 D (4, 8) [1, 5]
577 R (5, 8) [1, 5]
578 U (5, 9) [1, 9]
579 L (4, 9) [1, 7]
580 U (4, 10) [1, 5]
581 R (5, 10) [0, 10]
582 U (5, 11) [0, 8]
583 R (6, 11) [0, 4]
584 D (6, 10) [1, 9]
585 R (7, 10) [0, 4]
586 D (7, 9) [1, 7]
587 L (6, 9) [1, 9]
588 U (6, 10) [0, 10]
589 L (5, 10) [1, 11]
590 U (5, 11) [1, 9]
591 R (6, 11) [1, 5]
592 U (6, 12) [1, 1]
593 L (5, 12) [1, 5]
594 D (5, 11) [0, 10]
595 R (6, 11) [0, 6]
596 D (6, 10) [1, 11]
597 L (5, 10) [0, 12]
598 D (5, 9) [0, 10]
599 L (4, 9) [0, 8]
600 D (4, 8) [0, 6]
601 R (5, 8) [0, 6]
602 U (5, 9) [1, 11]
603 R (6, 9) [0, 10]
604 U (6, 10) [0, 12]
605 R (7, 10) [1, 5]
606 U (7, 11) [1, 1]
607 R (8, 11) [0, 0]
608 D (8, 10) [1, 1]
609 R (9, 10) [1, 1]
610 U (9, 11) [0, 0]
611 R (10, 11) [0, 0]
612 D (10, 10) [0, 0]
613 R (11, 10) [0, 0]
614 D (11, 9) [0, 0]
615 L (10, 9) [0, 0]
616 D (10, 8) [0, 0]
617 R (11, 8) [0, 0]
618 D (11, 7) [0, 0]
619 R (12, 7) [0, 0]
620 U (12, 8) [0, 0]
621 R (13, 8) [0, 0]
622 D (13, 7) [0, 0]
623 L (12, 7) [1, 1]
624 D (12, 6) [0, 0]
625 L (11, 6) [0, 0]
626 U (11, 7) [1, 1]
627 L (10, 7) [0, 0]
628 U (10, 8) [1, 1]
629 L (9, 8) [0, 0]
630 U (9, 9) [1, 1]
631 L (8, 9) [1, 3]
632 D (8, 8) [0, 2]
633 L (7, 8) [0, 4]
634 D (7, 7) [0, 0]
635 L (6, 7) [0, 2]
636 U (6, 8) [0, 4]
637 L (5, 8) [1, 7]
638 D (5, 7) [0, 4]
639 R (6, 7) [1, 3]
640 U (6, 8) [1, 5]
641 R (7, 8) [1, 5]
642 D (7, 7) [1, 1]
643 R (8, 7) [0, 0]
644 D (8, 6) [0, 0]
645 L (7, 6) [1, 1]
646 D (7, 5) [1, 1]
647 R (8, 5) [0, 0]
648 U (8, 6) [1, 1]
649 L (7, 6) [0, 2]
650 D (7, 5) [0, 2]
651 R (8, 5) [1, 1]
652 D (8, 4) [0, 0]
653 R (9, 4) [0, 0]
654 D (9, 3) [0, 0]
655 L (8, 3) [0, 0]
656 D (8, 2) [0, 0]
657 R (9, 2) [0, 0]
658 D (9, 1) [0, 0]
659 R (10, 1) [0, 0]
660 D (10, 0) [0, 0]
661 L (9, 0) [0, 0]
662 D (9, -1) [0, 0]
663 L (8, -1) [0, 0]
664 U (8, 0) [0, 0]
665 R (9, 0) [1, 1]
666 U (9, 1) [1, 1]
667 L (8, 1) [0, 0]
668 U (8, 2) [1, 1]
669 L (7, 2) [0, 0]
670 U (7, 3) [0, 0]
671 R (8, 3) [1, 1]
672 U (8, 4) [1, 1]
673 L (7, 4) [0, 0]
674 U (7, 5) [1, 3]
675 L (6, 5) [0, 2]
676 D (6, 4) [0, 2]
677 R (7, 4) [1, 1]
678 U (7, 5) [0, 4]
679 L (6, 5) [1, 3]
680 D (6, 4) [1, 3]
681 R (7, 4) [0, 2]
682 U (7, 5) [1, 5]
683 R (8, 5) [0, 2]
684 D (8, 4) [0, 2]
685 R (9, 4) [1, 1]
686 U (9, 5) [0, 0]
687 R (10, 5) [0, 0]
688 U (10, 6) [0, 0]
689 R (11, 6) [1, 1]
690 D (11, 5) [0, 0]
691 R (12, 5) [0, 0]
692 D (12, 4) [0, 0]
693 R (13, 4) [0, 0]
694 D (13, 3) [0, 0]
695 L (12, 3) [0, 0]
696 D (12, 2) [0, 0]
697 L (11, 2) [0, 0]
698 U (11, 3) [0, 0]
699 R (12, 3) [1, 1]
700 D (12, 2) [1, 1]
701 R (13, 2) [0, 0]
702 D (13, 1) [0, 0]
703 L (12, 1) [0, 0]
704 U (12, 2) [0, 2]
705 R (13, 2) [1, 1]
706 U (13, 3) [1, 1]
707 L (12, 3) [0, 2]
708 U (12, 4) [1, 1]
709 L (11, 4) [0, 0]
710 D (11, 3) [1, 1]
711 L (10, 3) [0, 0]
712 U (10, 4) [0, 0]
713 R (11, 4) [1, 1]
714 U (11, 5) [1, 1]
715 L (10, 5) [1, 1]
716 U (10, 6) [1, 1]
717 R (11, 6) [0, 2]
718 D (11, 5) [0, 2]
719 R (12, 5) [1, 1]
720 U (12, 6) [1, 1]
721 R (13, 6) [0, 0]
722 D (13, 5) [0, 0]
723 L (12, 5) [0, 2]
724 D (12, 4) [0, 2]
725 R (13, 4) [1, 1]
726 D (13, 3) [0, 2]
727 R (14, 3) [0, 0]
728 D (14, 2) [0, 0]
729 L (13, 2) [0, 2]
730 D (13, 1) [1, 1]
731 L (12, 1) [1, 1]
732 D (12, 0) [0, 0]
733 L (11, 0) [0, 0]
734 U (11, 1) [0, 0]
735 R (12, 1) [0, 2]
736 U (12, 2) [1, 3]
737 L (11, 2) [1, 1]
738 D (11, 1) [1, 1]
739 R (12, 1) [1, 3]
740 U (12, 2) [0, 4]
741 L (11, 2) [0, 2]
742 D (11, 1) [0, 2]
743 L (10, 1) [1, 1]
744 D (10, 0) [1, 1]
745 R (11, 0) [1, 1]
746 U (11, 1) [1, 3]
747 R (12, 1) [0, 4]
748 U (12, 2) [1, 5]
749 R (13, 2) [1, 3]
750 D (13, 1) [0, 2]
751 L (12, 1) [1, 5]
752 D (12, 0) [1, 1]
753 R (13, 0) [0, 0]
754 U (13, 1) [1, 3]
755 R (14, 1) [0, 0]
756 U (14, 2) [1, 1]
757 R (15, 2) [0, 0]
758 D (15, 1) [0, 0]
759 R (16, 1) [0, 0]
760 U (16, 2) [0, 0]
761 R (17, 2) [0, 0]
762 U (17, 3) [0, 0]
763 L (16, 3) [0, 0]
764 U (16, 4) [0, 0]
765 L (15, 4) [0, 0]
766 U (15, 5) [0, 0]
767 L (14, 5) [0, 0]
768 U (14, 6) [0, 0]
769 R (15, 6) [0, 0]
770 D (15, 5) [1, 1]
771 R (16, 5) [0, 0]
772 D (16, 4) [1, 1]
773 R (17, 4) [0, 0]
774 D (17, 3) [1, 1]
775 R (18, 3) [0, 0]
776 D (18, 2) [0, 0]
777 L (17, 2) [1, 1]
778 D (17, 1) [0, 0]
779 L (16, 1) [1, 1]
780 D (16, 0) [0, 0]
781 R (17, 0) [0, 0]
782 D (17, -1) [0, 0]
783 R (18, -1) [0, 0]
784 D (18, -2) [0, 0]
785 R (19, -2) [0, 0]
786 D (19, -3) [0, 0]
787 L (18, -3) [0, 0]
788 D (18, -4) [0, 0]
789 L (17, -4) [0, 0]
790 D (17, -5) [0, 0]
791 L (16, -5) [0, 0]
792 U (16, -4) [0, 0]
793 R (17, -4) [1, 1]
794 U (17, -3) [0, 0]
795 R (18, -3) [1, 1]
796 U (18, -2) [1, 1]
797 L (17, -2) [0, 0]
798 U (17, -1) [1, 1]
799 L (16, -1) [0, 0]
800 U (16, 0) [1, 1]
801 L (15, 0) [0, 0]
802 U (15, 1) [1, 1]
803 L (14, 1) [1, 1]
804 U (14, 2) [0, 2]
805 R (15, 2) [1, 1]
806 D (15, 1) [0, 2]
807 R (16, 1) [0, 2]
808 D (16, 0) [0, 2]
809 R (17, 0) [1, 1]
810 U (17, 1) [1, 1]
811 R (18, 1) [0, 0]
812 D (18, 0) [0, 0]
813 R (19, 0) [0, 0]
814 U (19, 1) [0, 0]
815 R (20, 1) [0, 0]
816 U (20, 2) [0, 0]
817 R (21, 2) [0, 0]
818 D (21, 1) [0, 0]
819 L (20, 1) [1, 1]
820 U (20, 2) [1, 1]
821 R (21, 2) [1, 1]
822 U (21, 3) [0, 0]
823 R (22, 3) [0, 0]
824 D (22, 2) [0, 0]
825 L (21, 2) [0, 2]
826 U (21, 3) [1, 1]
827 L (20, 3) [0, 0]
828 U (20, 4) [0, 0]
829 R (21, 4) [0, 0]
830 U (21, 5) [0, 0]
831 L (20, 5) [0, 0]
832 D (20, 4) [1, 1]
833 R (21, 4) [1, 1]
834 U (21, 5) [1, 1]
835 L (20, 5) [1, 1]
836 D (20, 4) [0, 2]
837 R (21, 4) [0, 2]
838 D (21, 3) [0, 2]
839 L (20, 3) [1, 1]
840 D (20, 2) [0, 2]
841 L (19, 2) [0, 0]
842 U (19, 3) [0, 0]
843 L (18, 3) [1, 1]
844 U (18, 4) [0, 0]
845 L (17, 4) [1, 1]
846 U (17, 5) [0, 0]
847 R (18, 5) [0, 0]
848 D (18, 4) [1, 1]
849 R (19, 4) [0, 0]
850 U (19, 5) [0, 0]
851 R (20, 5) [0, 2]
852 D (20, 4) [1, 3]
853 R (21, 4) [1, 3]
854 D (21, 3) [1, 3]
855 R (22, 3) [1, 1]
856 D (22, 2) [1, 1]
857 R (23, 2) [0, 0]
858 D (23, 1) [0, 0]
859 R (24, 1) [0, 0]
860 D (24, 0) [0, 0]
861 L (23, 0) [0, 0]
862 U (23, 1) [1, 1]
863 R (24, 1) [1, 1]
864 D (24, 0) [1, 1]
865 L (23, 0) [1, 1]
866 U (23, 1) [0, 2]
